"time","ip","user","rcode","log"
"2025-05-11 10:19:31","0.0.0.0","login server","100","login server started"
"2025-05-11 10:19:32","192.168.1.6","s1","100","charserver - rAthena@192.168.1.6:6121"
"2025-05-11 10:23:05","127.0.0.1","charismamamet","100","login ok"
"2025-05-11 11:15:25","0.0.0.0","login server","100","login server shutdown"
"2025-05-11 12:37:57","0.0.0.0","login server","100","login server started"
"2025-05-11 12:37:58","192.168.1.6","s1","100","charserver - rAthena@192.168.1.6:6121"
"2025-05-11 12:40:20","127.0.0.1","charismamamet","100","login ok"
"2025-05-11 16:25:21","192.168.1.6","s1","100","charserver - rAthena@192.168.1.6:6121"
"2025-05-11 16:25:30","192.168.1.6","s1","100","charserver - rAthena@192.168.1.6:6121"
"2025-05-12 08:36:42","0.0.0.0","login server","100","login server started"
"2025-05-12 08:36:44","192.168.1.6","s1","100","charserver - rAthena@192.168.1.6:6121"
"2025-05-12 08:39:16","127.0.0.1","charismamamet","100","login ok"
"2025-05-12 17:18:41","0.0.0.0","login server","100","login server started"
"2025-05-12 17:18:42","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-12 17:19:41","127.0.0.1","charismamamet","100","login ok"
"2025-05-12 17:46:40","0.0.0.0","login server","100","login server started"
"2025-05-12 17:46:41","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-12 17:47:07","0.0.0.0","login server","100","login server started"
"2025-05-12 17:47:09","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-12 17:48:09","127.0.0.1","charismamamet","100","login ok"
"2025-05-12 17:51:11","192.168.1.6","charismamamet","100","login ok"
"2025-05-12 21:28:51","0.0.0.0","login server","100","login server started"
"2025-05-12 21:28:53","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-12 21:30:08","127.0.0.1","tanteratna","100","login ok"
"2025-05-12 21:30:59","127.0.0.1","tanteratna","1","Incorrect Password."
"2025-05-12 21:32:31","127.0.0.1","tanteratna","100","login ok"
"2025-05-12 21:34:31","192.168.1.6","charismamamet","100","login ok"
"2025-05-13 14:00:15","0.0.0.0","login server","100","login server started"
"2025-05-13 14:00:16","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-13 14:01:43","127.0.0.1","charismamamet","100","login ok"
"2025-05-13 14:13:08","127.0.0.1","tanteratna","100","login ok"
"2025-05-13 14:13:24","192.168.1.6","charismamamet","100","login ok"
"2025-05-14 07:10:46","0.0.0.0","login server","100","login server started"
"2025-05-14 07:10:48","25.48.180.192","s1","100","charserver - rAthena@25.48.180.192:6121"
"2025-05-14 07:27:11","25.49.1.142","charismamamet","100","login ok"
"2025-05-14 07:27:52","0.0.0.0","login server","100","login server shutdown"
"2025-05-14 07:33:27","0.0.0.0","login server","100","login server started"
"2025-05-14 07:33:29","25.48.180.192","s1","100","charserver - rAthena@25.48.180.192:6121"
"2025-05-14 07:34:39","25.49.1.142","charismamamet","100","login ok"
"2025-05-14 13:09:10","25.49.1.142","charismamamet","100","login ok"
"2025-05-15 07:50:26","0.0.0.0","login server","100","login server started"
"2025-05-15 07:50:28","192.168.194.251","s1","100","charserver - rAthena@192.168.194.251:6121"
"2025-05-15 07:52:11","127.0.0.1","tanteratna","100","login ok"
"2025-05-15 08:19:24","0.0.0.0","login server","100","login server started"
"2025-05-15 08:19:25","192.168.194.251","s1","100","charserver - rAthena@192.168.194.251:6121"
"2025-05-15 08:27:31","0.0.0.0","login server","100","login server started"
"2025-05-15 08:27:32","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-15 08:28:58","192.168.1.3","charismamamet","100","login ok"
"2025-05-15 08:35:00","127.0.0.1","charismamamet","100","login ok"
"2025-05-15 13:50:21","0.0.0.0","login server","100","login server started"
"2025-05-15 13:50:23","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-15 13:50:58","0.0.0.0","login server","100","login server started"
"2025-05-15 13:50:59","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-15 13:52:15","127.0.0.1","charismamamet","100","login ok"
"2025-05-15 20:33:32","0.0.0.0","login server","100","login server started"
"2025-05-15 20:33:33","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-15 20:47:19","192.168.1.3","charismamamet","100","login ok"
"2025-05-16 08:55:09","0.0.0.0","login server","100","login server started"
"2025-05-16 08:55:11","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-16 08:56:26","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 08:57:38","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 09:11:39","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 09:12:00","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 09:13:28","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 09:18:31","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 09:37:25","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 09:44:36","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 09:45:17","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:32:41","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:33:45","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:35:14","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:53:36","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:56:12","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:57:02","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:58:51","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 11:59:51","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 12:42:29","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 12:44:04","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 13:12:41","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 13:25:23","0.0.0.0","login server","100","login server shutdown"
"2025-05-16 15:20:42","0.0.0.0","login server","100","login server started"
"2025-05-16 15:20:43","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-16 15:23:12","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 15:41:26","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 20:23:46","0.0.0.0","login server","100","login server shutdown"
"2025-05-16 20:23:53","0.0.0.0","login server","100","login server started"
"2025-05-16 20:23:54","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-16 20:24:59","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 20:27:19","0.0.0.0","login server","100","login server started"
"2025-05-16 20:27:20","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-16 20:38:33","0.0.0.0","login server","100","login server started"
"2025-05-16 20:38:35","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-16 20:39:57","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 20:41:18","127.0.0.1","charismamamet","100","login ok"
"2025-05-16 20:46:45","0.0.0.0","login server","100","login server started"
"2025-05-16 20:46:47","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-16 20:48:13","127.0.0.1","charismamamet","100","login ok"
"2025-05-17 07:41:21","0.0.0.0","login server","100","login server started"
"2025-05-17 07:41:22","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 07:50:25","192.168.1.3","charismamamet","100","login ok"
"2025-05-17 09:02:16","192.168.1.3","charismamamet","100","login ok"
"2025-05-17 09:05:39","192.168.1.3","charismamamet","100","login ok"
"2025-05-17 09:44:51","192.168.1.3","charismamamet","100","login ok"
"2025-05-17 11:10:11","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 11:41:14","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 13:18:03","0.0.0.0","login server","100","login server shutdown"
"2025-05-17 15:58:07","0.0.0.0","login server","100","login server started"
"2025-05-17 15:58:08","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 16:24:20","0.0.0.0","login server","100","login server started"
"2025-05-17 16:24:21","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 16:25:43","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 16:46:29","0.0.0.0","login server","100","login server started"
"2025-05-17 16:46:31","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 16:47:30","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 16:52:52","0.0.0.0","login server","100","login server shutdown"
"2025-05-17 16:57:20","0.0.0.0","login server","100","login server started"
"2025-05-17 16:57:22","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 16:59:24","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 17:51:37","0.0.0.0","login server","100","login server started"
"2025-05-17 17:51:38","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 17:51:48","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 17:51:58","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 17:52:08","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 17:52:42","0.0.0.0","login server","100","login server started"
"2025-05-17 17:52:43","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 17:53:20","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 18:02:18","0.0.0.0","login server","100","login server started"
"2025-05-17 18:02:19","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 18:02:56","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 18:34:39","0.0.0.0","login server","100","login server started"
"2025-05-17 18:34:40","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-17 18:36:07","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 18:41:13","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 18:55:33","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 19:02:41","127.0.0.1","tanteratna","100","login ok"
"2025-05-17 19:03:26","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 08:54:47","0.0.0.0","login server","100","login server started"
"2025-05-18 08:54:48","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-18 08:57:44","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 08:58:16","0.0.0.0","login server","100","login server shutdown"
"2025-05-18 09:04:46","0.0.0.0","login server","100","login server started"
"2025-05-18 09:04:47","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-18 09:12:51","192.168.1.3","charismamamet","100","login ok"
"2025-05-18 10:49:36","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 10:54:37","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 11:14:53","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 11:22:14","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 11:53:52","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 11:56:08","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:19:16","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:19:36","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:22:15","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:22:35","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:24:59","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:30:41","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:31:50","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 12:33:06","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 13:01:49","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 13:03:20","192.168.1.3","charismamamet","100","login ok"
"2025-05-18 13:48:05","192.168.1.3","charismamamet","100","login ok"
"2025-05-18 14:54:24","127.0.0.1","tanteratna","100","login ok"
"2025-05-18 21:14:54","127.0.0.1","charismamamet","100","login ok"
"2025-05-19 09:28:55","0.0.0.0","login server","100","login server started"
"2025-05-19 09:28:57","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-19 11:23:08","192.168.1.3","charismamamet","100","login ok"
"2025-05-19 12:06:05","192.168.1.3","charismamamet","100","login ok"
"2025-05-19 12:45:53","0.0.0.0","login server","100","login server shutdown"
"2025-05-20 18:29:46","0.0.0.0","login server","100","login server started"
"2025-05-20 18:29:47","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-20 19:48:26","192.168.1.3","charismamamet","100","login ok"
"2025-05-22 19:52:28","0.0.0.0","login server","100","login server started"
"2025-05-22 19:52:30","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-23 13:33:58","0.0.0.0","login server","100","login server started"
"2025-05-23 13:33:59","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-23 13:35:05","127.0.0.1","charismamamet","100","login ok"
"2025-05-23 13:40:09","0.0.0.0","login server","100","login server started"
"2025-05-23 13:40:11","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-23 13:41:44","127.0.0.1","charismamamet","100","login ok"
"2025-05-24 08:52:12","0.0.0.0","login server","100","login server started"
"2025-05-24 08:52:13","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-24 09:16:52","192.168.1.3","charismamamet","100","login ok"
"2025-05-24 12:57:24","127.0.0.1","charismamamet","100","login ok"
"2025-05-24 12:58:26","127.0.0.1","charismamamet","100","login ok"
"2025-05-24 20:18:28","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-24 20:23:43","127.0.0.1","charismamamet","100","login ok"
"2025-05-25 11:00:32","0.0.0.0","login server","100","login server started"
"2025-05-25 11:00:33","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-25 11:21:06","127.0.0.1","charismamamet","100","login ok"
"2025-05-26 22:02:46","0.0.0.0","login server","100","login server started"
"2025-05-26 22:02:47","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-26 22:04:09","127.0.0.1","charismamamet","100","login ok"
"2025-05-27 18:21:55","0.0.0.0","login server","100","login server started"
"2025-05-27 18:21:56","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-29 09:17:11","0.0.0.0","login server","100","login server started"
"2025-05-29 09:17:13","192.168.1.5","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-29 10:00:19","127.0.0.1","charismamamet","100","login ok"
"2025-05-29 10:14:21","0.0.0.0","login server","100","login server shutdown"
"2025-05-30 17:03:29","0.0.0.0","login server","100","login server started"
"2025-05-30 17:03:30","192.168.1.2","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-31 14:33:07","0.0.0.0","login server","100","login server started"
"2025-05-31 14:33:09","192.168.1.2","s1","100","charserver - rAthena@192.168.1.5:6121"
"2025-05-31 14:41:44","0.0.0.0","login server","100","login server started"
"2025-05-31 14:41:45","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-31 14:46:11","0.0.0.0","login server","100","login server started"
"2025-05-31 14:46:12","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-31 14:47:17","127.0.0.1","charismamamet","100","login ok"
"2025-05-31 15:51:57","0.0.0.0","login server","100","login server started"
"2025-05-31 15:51:59","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-31 15:52:53","127.0.0.1","charismamamet","100","login ok"
"2025-05-31 17:01:26","127.0.0.1","charismamamet","100","login ok"
"2025-05-31 19:58:52","127.0.0.1","charismamamet","100","login ok"
"2025-05-31 20:09:52","0.0.0.0","login server","100","login server shutdown"
"2025-06-01 09:14:26","0.0.0.0","login server","100","login server started"
"2025-06-01 09:14:28","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-06-01 09:17:50","127.0.0.1","charismamamet","100","login ok"
"2025-06-01 10:36:08","127.0.0.1","charismamamet","100","login ok"
"2025-06-01 18:40:04","127.0.0.1","charismamamet","100","login ok"
"2025-06-01 20:09:07","0.0.0.0","login server","100","login server shutdown"
"2025-06-05 20:58:18","0.0.0.0","login server","100","login server started"
"2025-06-05 20:58:20","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-06-05 20:58:37","127.0.0.1","charismamamet","100","login ok"
"2025-06-08 19:52:01","0.0.0.0","login server","100","login server started"
"2025-06-08 19:52:02","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-06-08 20:28:49","0.0.0.0","login server","100","login server shutdown"
"2025-06-14 15:04:39","0.0.0.0","login server","100","login server started"
"2025-06-14 15:04:42","192.168.1.3","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-06-14 15:09:30","127.0.0.1","charismamamet","100","login ok"
"2025-06-14 15:11:47","0.0.0.0","login server","100","login server started"
"2025-06-14 15:11:49","192.168.1.3","s1","100","charserver - rAthena@192.168.1.3:6121"
"2025-06-14 15:13:11","192.168.1.3","charismamamet","100","login ok"
"2025-06-14 15:14:19","127.0.0.1","charismamamet","100","login ok"
